player_id,num_digs,dig_faults,num_receptions,num_reception_faults
3,186,48,67,21
6,188,65,72,11
4,173,38,61,20
5,174,51,67,14
66,153,41,46,15
64,143,25,42,28
2,190,32,60,12
247,125,19,42,25
33,168,43,60,20
16,165,37,45,18
61,126,31,40,27
21,118,23,49,29
24,147,45,67,29
37,132,31,31,17
35,150,43,48,20
65,109,29,64,22
77,114,35,65,21
26,107,30,46,30
57,105,28,36,26
40,144,23,62,18
42,130,32,46,25
55,131,30,47,37
146,123,13,39,27
67,97,16,34,41
48,104,31,27,0
47,96,21,36,0
123,114,29,59,7
44,94,11,31,3
69,88,21,34,3
204,124,38,37,2
159,94,18,35,1
173,92,25,50,1
79,98,41,47,0
82,123,36,51,2
1,84,20,42,1
68,89,28,43,10
43,109,26,32,10
98,90,31,54,11
162,90,30,62,0
23,93,33,37,0
54,104,17,52,0
161,86,20,22,0
58,83,29,50,0
38,103,20,34,0
62,75,19,42,0
41,106,39,47,1
60,83,31,32,1
46,97,24,29,14
122,92,21,49,0
152,96,10,27,1
63,71,29,33,4
45,70,23,23,0
29,74,21,20,4
288,100,17,41,0
10,89,25,28,16
59,72,23,33,0
27,73,18,21,4
22,77,25,29,9
251,91,24,47,7
19,70,27,31,0
34,89,23,28,9
7,74,36,22,1
11,83,15,22,16
136,67,7,28,0
127,80,18,48,5
49,67,31,36,8
231,64,12,26,3
186,68,22,32,5
133,63,16,21,3
282,59,25,22,0
51,63,9,30,8
236,60,13,24,14
39,73,23,34,3
88,77,19,38,1
267,76,18,16,0
52,56,17,27,18
25,73,19,17,9
102,55,24,22,5
216,55,20,22,0
118,66,9,24,2
273,72,21,24,0
17,66,22,28,0
211,53,26,26,0
31,52,23,26,0
36,71,20,41,4
274,71,12,32,12
97,51,11,22,16
189,53,22,31,15
214,50,12,20,0
50,67,22,25,17
94,48,8,32,1
228,47,14,23,0
234,47,10,16,0
179,50,6,12,0
87,64,12,30,2
18,46,9,17,0
188,48,13,16,0
96,45,6,16,0
270,60,9,24,1
56,58,22,36,9
131,52,12,29,0
252,55,16,21,4
105,52,10,15,3
240,42,15,16,0
206,56,14,30,0
116,51,20,14,8
90,57,20,33,11
53,41,7,25,1
111,50,21,17,3
113,50,25,12,2
264,54,16,20,3
184,42,9,11,1
254,50,13,20,11
74,41,8,25,0
14,37,13,12,2
114,45,18,14,0
197,49,17,18,2
165,37,9,12,2
192,39,9,14,4
262,46,12,13,0
128,43,12,21,2
139,35,15,22,3
271,48,8,22,0
183,36,8,7,3
157,34,4,13,1
232,33,5,21,2
147,41,9,14,9
223,32,8,13,1
283,44,23,16,0
12,39,13,14,3
112,37,7,14,0
169,30,11,29,1
85,41,13,17,13
182,32,5,14,2
99,30,10,29,2
81,40,16,21,14
91,40,17,19,4
132,29,12,23,6
135,29,8,13,1
137,29,6,26,13
180,31,13,15,12
269,39,8,10,3
237,28,9,9,2
258,35,3,15,1
72,29,8,18,13
168,27,6,8,8
260,34,15,28,0
203,35,13,21,0
110,32,7,12,1
178,28,3,9,2
144,26,6,16,1
256,33,12,18,0
153,32,14,26,0
129,30,7,22,0
190,26,4,15,18
141,24,7,21,14
226,24,8,18,1
154,29,9,18,4
106,28,4,31,1
263,31,17,16,0
242,21,10,21,2
245,21,11,9,1
30,22,6,7,2
257,28,7,4,1
158,22,8,20,2
172,21,5,16,12
289,28,8,22,1
208,20,4,33,2
272,26,7,11,10
95,19,11,9,9
196,20,8,15,10
150,23,8,14,1
280,18,5,8,14
166,18,6,19,0
148,22,4,3,6
149,22,8,16,2
200,23,10,37,1
138,17,2,8,13
225,17,5,15,1
86,23,4,10,0
28,17,11,11,3
151,21,3,10,2
229,16,2,6,0
32,16,16,11,20
9,22,4,7,1
145,20,4,7,0
108,19,3,10,1
279,15,5,5,3
238,15,7,11,20
13,18,15,11,1
253,19,7,15,8
163,15,5,15,4
167,15,8,7,3
290,20,2,12,1
199,19,1,20,0
248,13,2,6,7
198,18,4,20,0
124,16,3,11,3
224,13,7,10,0
160,13,4,2,1
221,13,1,5,10
155,16,6,1,4
104,15,5,8,1
76,13,4,2,0
78,13,2,2,0
233,12,5,3,13
140,11,1,6,1
265,15,8,14,13
120,13,2,4,0
73,11,7,8,11
75,11,4,3,0
187,11,11,12,0
193,11,3,15,0
210,10,1,11,1
119,12,2,1,5
201,13,1,4,5
284,13,3,4,8
261,12,1,7,2
185,10,5,3,1
142,9,1,4,0
117,11,3,7,0
164,9,6,7,6
209,9,6,13,5
156,11,1,3,0
285,8,6,4,1
107,10,3,7,12
100,8,1,2,11
243,7,2,4,9
115,9,1,7,16
266,10,2,9,0
212,7,5,6,1
218,7,4,11,2
194,7,4,4,8
246,6,2,16,0
174,6,3,7,12
235,6,3,5,NULL
222,6,2,3,NULL
276,8,3,8,NULL
80,6,3,2,NULL
250,5,4,8,NULL
277,7,1,8,NULL
170,5,2,5,NULL
126,6,4,4,NULL
259,6,2,6,NULL
93,6,4,4,NULL
249,4,0,3,NULL
109,5,4,8,NULL
143,4,3,1,NULL
15,4,1,2,NULL
215,4,0,2,NULL
220,4,1,1,NULL
70,4,1,5,NULL
84,5,0,2,NULL
171,3,3,1,NULL
213,3,4,2,NULL
217,3,0,1,NULL
268,4,1,3,NULL
292,4,3,2,NULL
195,3,1,1,NULL
244,2,1,0,NULL
176,2,5,4,NULL
219,2,1,2,NULL
71,2,0,11,NULL
177,2,1,4,NULL
181,2,1,1,NULL
191,2,1,2,NULL
286,2,0,1,NULL
255,2,0,1,NULL
205,2,2,0,NULL
207,2,0,1,NULL
241,1,0,0,NULL
175,1,0,4,NULL
227,1,0,1,NULL
230,1,0,1,NULL
239,1,0,0,NULL
101,1,0,2,NULL
103,1,1,2,NULL
8,1,1,0,NULL
125,1,2,3,NULL
130,1,2,1,NULL
202,1,1,0,NULL
83,1,0,1,NULL
89,1,3,1,NULL
287,0,0,1,NULL
134,0,1,0,NULL
20,0,1,1,NULL
281,0,0,1,NULL
275,0,2,1,NULL