player_id,set_attempts,set_faults
247,1141,9
162,1152,11
251,1360,18
77,1357,12
82,1374,9
123,1588,19
186,944,8
173,1151,9
146,1196,15
211,1044,17
98,1029,19
133,825,8
267,757,4
97,552,10
116,515,6
228,632,7
132,477,9
264,513,3
197,695,7
184,378,5
113,628,4
203,508,3
256,474,2
147,466,6
206,664,14
106,367,4
263,346,3
85,402,6
167,320,6
237,392,8
265,243,2
238,224,4
140,158,3
279,124,1
224,183,2
248,154,1
194,158,0
280,178,2
221,211,4
6,212,1
212,164,2
160,64,1
75,101,3
1,123,0
242,45,0
26,68,1
63,37,2
126,73,6
16,171,1
70,80,1
152,60,3
33,106,4
41,39,1
66,44,3
79,93,1
3,130,1
64,37,0
4,146,0
52,27,0
42,46,0
7,66,1
35,139,1
69,39,3
45,28,1
47,30,1
59,23,0
44,36,0
67,41,0
232,18,0
17,57,1
102,18,1
158,16,1
159,50,0
27,42,0
49,25,1
51,16,0
38,22,3
90,57,1
288,41,0
11,43,0
246,13,0
62,29,2
282,31,0
46,34,0
255,29,0
68,53,1
169,31,0
19,53,1
21,88,0
57,37,1
236,34,2
32,16,1
65,48,1
94,39,1
161,28,0
164,10,0
213,66,2
214,16,1
218,9,0
58,28,1
2,143,1
60,28,0
74,15,0
22,66,1
179,18,1
182,10,0
196,20,0
122,60,1
54,44,2
5,119,2
43,60,3
10,78,1
34,42,0
200,38,5
81,25,0
88,17,0
36,27,1
245,15,1
250,10,1
285,10,0
172,39,2
223,11,0
29,82,0
240,30,1
96,7,1
61,37,1
166,16,0
168,16,0
208,22,0
28,16,0
220,3,0
48,45,1
72,25,0
188,10,0
189,22,1
193,7,0
127,42,1
37,49,0
129,42,1
109,17,0
110,17,2
286,11,1
12,23,0
150,24,0
39,31,1
154,18,2
155,4,0
201,13,2
204,36,2
55,36,2
207,3,0
40,38,2
91,12,0
269,13,0
243,12,1
135,5,0
136,15,1
137,9,1
139,9,0
141,10,0
142,1,0
174,7,0
175,1,0
225,8,0
226,12,2
234,22,0
239,2,0
31,31,1
95,9,2
99,28,2
287,2,0
157,18,2
210,9,0
216,11,1
71,4,1
78,8,0
23,84,1
192,13,2
13,17,0
124,24,3
125,3,0
128,21,1
107,14,1
111,19,0
114,13,0
118,19,2
120,8,0
149,11,1
151,12,2
252,11,0
253,19,1
260,40,1
261,10,1
262,8,0
198,10,0
199,8,1
25,48,0
50,19,0
84,1,0
87,21,0
271,28,2
273,26,0
274,19,1
73,2,0
76,5,0
80,3,1
86,8,0
89,2,0
9,21,0
93,17,1
100,3,0
101,1,0
103,3,0
104,22,0
105,16,2
108,15,0
112,22,1
115,6,0
117,23,1
119,11,0
131,19,0
138,4,1
53,14,1
14,31,0
143,9,1
144,25,0
145,5,0
148,10,0
153,4,0
156,2,0
163,15,0
18,29,0
165,10,0
170,7,0
171,7,0
176,2,0
177,5,0
178,8,0
180,23,1
183,11,0
185,7,1
187,7,3
190,2,0
191,1,0
195,1,0
24,146,5
56,31,3
205,3,0
284,4,0
209,15,1
215,1,0
219,2,0
227,4,1
229,4,0
231,18,2
233,4,1
235,4,0
30,21,0
244,3,0
281,1,0
254,12,1
257,8,0
258,4,0
259,1,0
266,10,0
268,1,0
270,31,0
272,12,1
275,2,1
276,3,0
277,4,1
290,9,0
289,24,0
292,1,0
283,36,0